al4613@nittany.edu,EE320,1
am4447@nittany.edu,PHYS212,2
ak9804@nittany.edu,CMPEN411,2
as1233@nittany.edu,CMPSC360,1
al5684@nittany.edu,CMPSC497,2
al6759@nittany.edu,CMPSC360,1
ah2567@nittany.edu,CMPEN351,2
ab8825@nittany.edu,PHYS211,1
ak1365@nittany.edu,CMPSC465,2
at2037@nittany.edu,PHYS214,2
as3627@nittany.edu,CSE583,2
ah3078@nittany.edu,STAT414,2
ab8389@nittany.edu,CMPEN441,2
at1813@nittany.edu,CMPEN431,1
ao8250@nittany.edu,PHYS212,2
al8826@nittany.edu,EE352,1
ab4479@nittany.edu,EE340,1
al5806@nittany.edu,CHEM111,1
aj1457@nittany.edu,STAT318,1
ar7586@nittany.edu,CSE543,2
am6718@nittany.edu,CMPSC461,1
as4057@nittany.edu,IST558,2
az6923@nittany.edu,IST110,2
ab9912@nittany.edu,MATH140,2
ap8429@nittany.edu,CMPEN454,1
ag4728@nittany.edu,DS220,1
am5109@nittany.edu,MATH140,2
ab3717@nittany.edu,CHEM110,1
ah5707@nittany.edu,IST128,1
ad9791@nittany.edu,EE311,1
aw2983@nittany.edu,PHYS213,2
lj2993@nittany.edu,MATH140,2
rb1832@nittany.edu,EE320,1
ld8122@nittany.edu,IST110,2
md5914@nittany.edu,CMPEN431,2
kf8268@nittany.edu,CMPEN362,2
pz6665@nittany.edu,CHEM112,1
mr6639@nittany.edu,STAT319,1
sc5452@nittany.edu,PHYS211,2
tp8468@nittany.edu,IST128,2
ih9335@nittany.edu,CMPEN331,2
me9525@nittany.edu,EE311,1
pr4075@nittany.edu,CMPSC461,1
nk8056@nittany.edu,EE211,1
jz5577@nittany.edu,CMPSC475,1
jp2632@nittany.edu,ECON101,1
lk7361@nittany.edu,MATH140,2
ks1880@nittany.edu,ECON101,1
ms2404@nittany.edu,STAT415,2
ih5431@nittany.edu,CMPSC431W,1
sm4115@nittany.edu,STAT318,1
js8078@nittany.edu,CMPSC475,2
mb4117@nittany.edu,DS120,2
rm8585@nittany.edu,CMPEN454,1
mg1976@nittany.edu,PHYS214,1
kc4364@nittany.edu,EE211,1
rh2046@nittany.edu,DS120,2
jh2885@nittany.edu,EE352,2
ms9362@nittany.edu,ECON101,1
jl6447@nittany.edu,ECON102,2
mr2329@nittany.edu,PHYS213,2
ma5503@nittany.edu,CMPEN270,1
rb4971@nittany.edu,CMPEN351,1
jc5818@nittany.edu,PHYS211,1
kg2618@nittany.edu,EE352,2
lg4120@nittany.edu,CMPSC131,1
sg2123@nittany.edu,CMPSC497,2
tp3946@nittany.edu,CMPEN441,2
sb5076@nittany.edu,IST128,1
mh2221@nittany.edu,CMPSC497,2
vs8351@nittany.edu,IST110,2
mm1324@nittany.edu,STAT319,1
tg2289@nittany.edu,CMPEN441,1
mk4648@nittany.edu,CSE543,1
sa8884@nittany.edu,CSE543,1
kn1468@nittany.edu,ECON201,2
jk5833@nittany.edu,CMPEN362,2
md1699@nittany.edu,CMPSC448,1
mc4814@nittany.edu,IST110,2
ll2646@nittany.edu,CMPSC132,1
mr3369@nittany.edu,ECON201,2
tb7100@nittany.edu,EE311,2
wm3293@nittany.edu,MATH231,2
jb9557@nittany.edu,CMPEN454,2
ko8881@nittany.edu,CHEM110,1
zj6533@nittany.edu,EE311,2
mb4756@nittany.edu,PHYS211,1
mr3556@nittany.edu,EE320,2
md3813@nittany.edu,EE311,1
km6173@nittany.edu,DS120,2
sg3060@nittany.edu,CMPEN270,1
ms7605@nittany.edu,MATH140,2
tm4946@nittany.edu,STAT318,2
jg1721@nittany.edu,CMPEN411,2
yc2897@nittany.edu,CMPEN270,1
ss9714@nittany.edu,CSE583,1
rb9779@nittany.edu,PHYS214,2
zr6768@nittany.edu,CHEM110,2
rc6428@nittany.edu,EE212,2
jt5287@nittany.edu,CMPSC221,2
lo7605@nittany.edu,CMPEN270,2
tr4637@nittany.edu,STAT414,1
lr3728@nittany.edu,CMPSC475,2
xg4863@nittany.edu,PHYS212,2
me5010@nittany.edu,CSE583,2
lr5472@nittany.edu,EE211,1
sh4974@nittany.edu,CMPEN351,1
la9924@nittany.edu,EE320,2
ms2737@nittany.edu,DS120,2
tb8127@nittany.edu,CMPSC461,1
