km6173@nittany.edu,1
nc8172@nittany.edu,1
ts1830@nittany.edu,1
kh1826@nittany.edu,1
bk5477@nittany.edu,1
em3990@nittany.edu,1
sa8884@nittany.edu,2
rf1538@nittany.edu,2
jo5683@nittany.edu,2
mj5224@nittany.edu,2
pp2997@nittany.edu,2
ff4897@nittany.edu,2
as4057@nittany.edu,3
rm8585@nittany.edu,3
ml7288@nittany.edu,3
mt7486@nittany.edu,5
lh6961@nittany.edu,6
ab9912@nittany.edu,9
ch1256@nittany.edu,9
mv1311@nittany.edu,11
am9248@nittany.edu,11
oh8195@nittany.edu,12
dh7046@nittany.edu,12
ds7254@nittany.edu,13
rl4225@nittany.edu,14
ks1880@nittany.edu,15
sg2123@nittany.edu,15
mf8214@nittany.edu,15
kh5883@nittany.edu,15
jg5906@nittany.edu,15
lo3428@nittany.edu,15
eh3135@nittany.edu,15
jc2471@nittany.edu,17
mc4662@nittany.edu,17
js1332@nittany.edu,17
mp8748@nittany.edu,17
eo6418@nittany.edu,17
gp6880@nittany.edu,19
ej7700@nittany.edu,19
na8379@nittany.edu,21
mh8661@nittany.edu,21
sj7472@nittany.edu,21
pm3642@nittany.edu,21
ac5862@nittany.edu,21
ea7463@nittany.edu,23
al6759@nittany.edu,24
rk8121@nittany.edu,24
ak1365@nittany.edu,25
mc4696@nittany.edu,25
mb3709@nittany.edu,25
mj1770@nittany.edu,25
ag5931@nittany.edu,25
mk4648@nittany.edu,26
mr9406@nittany.edu,26
mb4756@nittany.edu,27
ar9287@nittany.edu,28
bf5148@nittany.edu,28
vh5298@nittany.edu,30
hc6195@nittany.edu,31
hm5525@nittany.edu,31
mm9659@nittany.edu,32
fg4672@nittany.edu,32
tp3946@nittany.edu,33
at2037@nittany.edu,34
me6698@nittany.edu,34
mj8696@nittany.edu,34
cf2840@nittany.edu,34
wo4044@nittany.edu,35
as5959@nittany.edu,35
mr1462@nittany.edu,38
dh1318@nittany.edu,38
sr6321@nittany.edu,39
bm9506@nittany.edu,39
wc1418@nittany.edu,42
sp1402@nittany.edu,42
kr9949@nittany.edu,43
dj4017@nittany.edu,43
wa5135@nittany.edu,44
cd3328@nittany.edu,44
md1308@nittany.edu,45
lg2530@nittany.edu,46
rq8420@nittany.edu,46
ml8317@nittany.edu,46
tp4444@nittany.edu,47
db6530@nittany.edu,47
fs3719@nittany.edu,47
dw2632@nittany.edu,47
aw2413@nittany.edu,49
cb6121@nittany.edu,49
bb4001@nittany.edu,50
sv5358@nittany.edu,51
mt3151@nittany.edu,51
mm2047@nittany.edu,51
aa2256@nittany.edu,54
