nw51@nittany.edu,37
nh89@nittany.edu,48
rr82@nittany.edu,35
hl43@nittany.edu,38
ds51@nittany.edu,5
fr23@nittany.edu,2
dc80@nittany.edu,23
gb44@nittany.edu,30
sc45@nittany.edu,42
wc77@nittany.edu,25
lt47@nittany.edu,33
re79@nittany.edu,13
bb77@nittany.edu,11
jm33@nittany.edu,52
wp45@nittany.edu,3
km14@nittany.edu,43
dw78@nittany.edu,54
bm79@nittany.edu,28
hp75@nittany.edu,16
rc19@nittany.edu,24
fp60@nittany.edu,47
mh50@nittany.edu,44
tj11@nittany.edu,4
aa18@nittany.edu,40
ab29@nittany.edu,6
rp45@nittany.edu,26
cg89@nittany.edu,53
br31@nittany.edu,17
sw32@nittany.edu,15
kh18@nittany.edu,19
jc66@nittany.edu,36
cy98@nittany.edu,41
vh43@nittany.edu,50
bh63@nittany.edu,45
ar69@nittany.edu,12
em34@nittany.edu,49
mp11@nittany.edu,14
bs39@nittany.edu,29
as52@nittany.edu,21
cj88@nittany.edu,18
cp54@nittany.edu,39
rf73@nittany.edu,46
lg14@nittany.edu,51
wm35@nittany.edu,20
kb76@nittany.edu,27
ff47@nittany.edu,10
rp85@nittany.edu,31
kn67@nittany.edu,34
rs84@nittany.edu,1
rs62@nittany.edu,32
mh33@nittany.edu,7
jw68@nittany.edu,8
rr63@nittany.edu,9
ma43@nittany.edu,22
